case_id,customer_name,analyst_name,Q1_kyc_reviewed,Q2_risk_rating_appropriate,Q3_red_flags_identified (CRITICAL),Q4_investigation_documented,Q5_rfi_appropriate,Q6_adverse_media_assessed,Q7_escalation_required (CRITICAL),Q8_disposition_supported (CRITICAL),qa_reviewer_comments,score_pct,critical_failure,qa_outcome
QA-001,Rebecca Lin,Jordan Ellis,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,"Clean file. KYC current, red flags correctly assessed against documented income pattern, no RFI needed and correctly not sent, clearance fully supported by the account history reviewed.",1,NO,PASS
QA-002,Nour Haddad,Morgan Hale,Pass,Pass,Pass,Partial,Partial,Pass,Pass,Pass,"Disposition itself is sound, but two things drag this down: the RFI added a week of processing delay and customer friction for information the file already contained, and the case notes don't explain why the RFI was sent given the existing documentation. Coaching point: check the file for existing supporting documentation before sending an RFI, and if one is sent anyway, document why.",0.875,NO,PASS WITH COACHING
QA-003,Carlos Mendez,Taylor Brooks,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,"Thorough PEP onboarding file. EDD, source-of-wealth documentation, adverse media, and escalation for sign-off are all present and well-documented.",1,NO,PASS
QA-004,Everline Trading DMCC,Casey Nguyen,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,"Escalation decision itself was correct and timely, but the file needs a written rationale, not just a timestamp — an examiner reviewing this file six months from now has no way to reconstruct why this was escalated. Coaching point: every escalation needs 2-3 sentences of documented reasoning, even when the outcome is clearly correct.",0.875,NO,PASS WITH COACHING
QA-005,Anatoly Sokolov,Morgan Hale,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,"Excellent SAR file — clear narrative, well-documented pattern, correctly escalated and filed.",1,NO,PASS
QA-006,Consolidated Metals JSC,Riley Chen,Fail,Pass,Pass,Partial,Pass,Fail,Fail,Fail,"Critical finding: the RFI response was accepted at face value without cross-referencing the business activity already documented in the KYC record, which describes a materially different business purpose. This is exactly the kind of inconsistency an RFI review exists to catch. Should have been escalated for further review; instead the case was closed. File must be reopened and reviewed by a senior investigator.",0.4375,YES,FAIL - Critical Error
QA-007,Silverline Trading FZE,Casey Nguyen,Pass,Pass,Fail,Partial,Pass,Pass,Fail,Fail,"Critical finding: the case tool's own link-analysis panel showed the same funds moving through two related accounts within 48 hours, and this was not reviewed. This is not a subtle miss — the linkage was visible in a standard part of the case tool. File must be reopened; recommend refresher training on the link-analysis feature for this analyst.",0.5625,YES,FAIL - Critical Error
QA-008,Global Freight Solutions Ltd,Riley Chen,Partial,Pass,Pass,Partial,Pass,Pass,Pass,Pass,"Underlying decision to continue the relationship is well-supported, but two things need tightening: the expired beneficial-owner ID should have been flagged for refresh, and the written rationale for continuing the relationship is lighter than our high-risk EDD standard. Coaching point, not a rework — the analytical conclusion itself is sound.",0.875,NO,PASS WITH COACHING
QA-009,Northbridge Capital Partners,Taylor Brooks,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Critical finding: a confirmed regulatory-action adverse media hit was dismissed with a one-line note and no documented analysis. Policy requires MLRO escalation for any confirmed regulatory-action hit; this did not happen. Clearing this file is not supportable on the documentation present. Must be reopened and escalated immediately.,0.375,YES,FAIL - Critical Error
QA-010,Amara Diallo,Jordan Ellis,Fail,Partial,Partial,Fail,Fail,Pass,Pass,Partial,"Multiple non-critical gaps compound into a weak file: no documented comparison against account history, typology indicators only partially noted rather than walked through, and no risk-rating cross-check. Scored as a non-critical FAIL rather than a critical failure because the underlying transaction pattern, independently re-reviewed, does not itself appear to meet the threshold for escalation — the disposition reached is probably right, but the file as written doesn't demonstrate that, which is itself the deficiency. Requires rework and refresher coaching on documentation standards.",0.4375,NO,FAIL
